id,value
Cowardin,
Cowardin.Marine,
Cowardin.Marine.Subtidal,
Cowardin.Marine.Subtidal.Rock Bottom,
Cowardin.Marine.Subtidal.Rock Bottom.Bedrock,
Cowardin.Marine.Subtidal.Rock Bottom.Rubble,
Cowardin.Marine.Subtidal.Unconsolidated Bottom,
Cowardin.Marine.Subtidal.Unconsolidated Bottom.Cobble-Gravel,
Cowardin.Marine.Subtidal.Unconsolidated Bottom.Sand,
Cowardin.Marine.Subtidal.Unconsolidated Bottom.Mud,
Cowardin.Marine.Subtidal.Aquatic Bed,
Cowardin.Marine.Subtidal.Aquatic Bed.Algal,
Cowardin.Marine.Subtidal.Aquatic Bed.Rooted Vascular,
Cowardin.Marine.Subtidal.Reef,
Cowardin.Marine.Subtidal.Reef.Coral,
Cowardin.Marine.Subtidal.Reef.Worm,
Cowardin.Marine.Intertidal,
Cowardin.Estuarine,
Cowardin.Riverine,
Cowardin.Lacustrine,
Cowardin.Palustrine,
